구분,세부영역,키,현재문구,교체문구,비고
공통,문서/앱 제목,app_title,우리의 1주년,,"index title, apple-mobile-web-app-title"
상단바,브랜드 문구,brandTitle,2025.05.27 하린이와 홍래 사랑 진행 중 ♥,,상단 고정바
내비게이션,요약 링크,nav_summary,요약,,
내비게이션,앨범 링크,nav_album,앨범,,
내비게이션,타임라인 링크,nav_timeline,타임라인,,
내비게이션,편지 링크,nav_letter,편지,,
메인,키커,hero_kicker,♥ 뭉리니 스크랩북,,
메인,큰 제목,heroTitle,우리의 아름다운 1년,,
메인,서브 문구 1,heroSubtitle,"함께한 계절들이 모여, 오늘의 우리가 됐어.",,
메인,서브 문구 2,hero_subcopy,"사진과 메모를 넘기듯, 지난 1년을 천천히 꺼내보는 작은 기록장.",,
메인,버튼,hero_button_album,앨범 열기,,
메인,버튼,hero_button_letter,편지 읽기,,
메인 5장 카드,배지,hero_stack_badge,뭉리니 순간,,CSS content
메인 5장 카드,카드 라벨 1,hero_card_1,분홍빛 밤,,
메인 5장 카드,카드 라벨 2,hero_card_2,파란 장면,,
메인 5장 카드,카드 라벨 3,hero_card_3,카페의 우리,,
메인 5장 카드,카드 라벨 4,hero_card_4,햇살 나들이,,
메인 5장 카드,카드 라벨 5,hero_card_5,첫 화면,,
요약,타이틀,summary_title,Memory Summary,,
요약,설명,summary_desc,"처음의 컨셉처럼, 우리가 함께 쌓아온 시간을 네 장의 카드로만 담백하게 모았어.",,
요약,카드 라벨,summary_days_label,함께한 날,,
요약,카드 값,summary_days_value,D+{days},,동적 값
요약,카드 하단,summary_days_stamp,2025.05.27 - Today,,
요약,카드 라벨,summary_months_label,계절처럼 쌓인 달,,
요약,카드 값,summary_months_value,12,,
요약,카드 라벨,summary_moments_label,다시 보고 싶은 순간,,
요약,카드 값,summary_moments_value,∞,,
요약,카드 라벨,summary_anniversary_label,첫 번째 기념일,,
요약,카드 값,summary_anniversary_value,1st,,
앨범,타이틀,album_title,Photo Album,,
앨범,설명,album_desc,계절별로 묶은 우리의 앨범. 폴라로이드처럼 눌러서 더 크게 볼 수 있어.,,
계절별 앨범,여름 날짜,summer_date,2025 여름,,
계절별 앨범,여름 제목,summer_title,"여름, 우리라는 계절의 시작",,
계절별 앨범,여름 장소/카테고리,summer_place,첫 계절,,
계절별 앨범,여름 요약문구,summer_memo,"5월 27일 이후의 첫 계절. 서툴고 뜨거웠지만, 그래서 더 선명했던 시작.",,앨범 카드/팝업 요약
계절별 앨범 사진문구,여름 1번 사진 글귀,summer_photo_1_caption,처음이라 더 선명했던 우리. 서툰 마음까지 여름처럼 반짝였던 날.,,현재 코드에 있음
계절별 앨범 사진문구,여름 2번 사진 글귀,summer_photo_2_caption,익숙해지는 속도보다 좋아지는 마음이 조금 더 빨랐던 계절.,,현재 코드에 있음
계절별 앨범 사진문구,여름 3번 사진 글귀,summer_photo_3_caption,더운 공기 속에서도 같이 웃으면 이상하게 시원했던 날.,,"샘플 텍스트, 사진 추가 시 사용"
계절별 앨범 사진문구,여름 4번 사진 글귀,summer_photo_4_caption,처음 맞는 여름이라 모든 장면이 조금 더 크게 남았어.,,"샘플 텍스트, 사진 추가 시 사용"
